GUID,ISIN,TRA_TYPE,EXECUTION_PRICE,ORDER_TIMESTAMP,EXECUTION_TIMESTAMP,STOCK_EXCHANGE,INSTR_CCY,SET_CURRENCY,TRADE_CCY,INSTR_CLASS,INSTR_SUB_CLASS,INSTR_DESC,Source,Symbol
61688AF5,US38046C1099,SELL,17.2139,2021-10-05 11:40:05.000,2021-10-05 21:02:43.000,XNGS,USD,USD,,SWAP,CFD_OLD,Gogo -CFD,564,GOGO
0B556B60,US38046C1099,SELL,17.6194,2021-10-04 14:29:13.000,2021-10-04 21:02:16.000,XNGS,USD,USD,,SWAP,CFD_OLD,Gogo -CFD,564,GOGO
7DAA6E26,US4523271090,SELL,386.6412,2021-10-04 12:16:08.000,2021-10-04 15:10:02.000,XNGS,USD,USD,,SWAP,CFD_OLD,Illumina -CFD,564,ILMN
30A66059,US98980L1017,SELL,258.4889,2021-10-04 11:59:17.000,2021-10-04 15:29:08.000,XNGS,USD,USD,,SWAP,CFD_OLD,Zoom Video Communications -CFD,564,ZM
97E52F56,US98980L1017,BUY,268.2561,2021-10-01 19:01:46.000,2021-10-01 21:01:45.000,XNGS,USD,USD,,SWAP,CFD_OLD,Zoom Video Communications -CFD,564,ZM
0D9C11EE,US12572Q1058,SELL,195.176,2021-09-30 14:12:17.000,2021-09-30 16:50:24.000,XNGS,USD,USD,,SWAP,CFD_OLD,CME -CFD,564,CME
563CF597,US98980L1017,SELL,262.8532,2021-09-28 15:05:00.000,2021-09-28 15:34:21.000,XNGS,USD,USD,,SWAP,CFD_OLD,Zoom Video Communications -CFD,564,ZM
7F5EC574,NL0012969182,SELL,2513.2122,2021-09-28 09:21:48.000,2021-09-28 11:02:03.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,Adyen -CFD,787,E:ADYEN
CB02AF7A,NL0012969182,SELL,2671.4715,2021-09-24 15:04:44.000,2021-09-24 15:33:03.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,Adyen -CFD,787,E:ADYEN
F6DBDD7A,US98980L1017,SELL,267.6854,2021-09-24 14:54:25.000,2021-09-24 15:22:57.000,XNGS,USD,USD,,SWAP,CFD_OLD,Zoom Video Communications -CFD,564,ZM
AF45C0CF,US64110L1061,SELL,589.3981,2021-09-24 14:41:59.000,2021-09-24 14:46:04.000,XNGS,USD,USD,,SWAP,CFD_OLD,Netflix -CFD,564,NFLX
787E985B,US98980L1017,SELL,271.6983,2021-09-24 12:05:59.000,2021-09-24 14:45:03.000,XNGS,USD,USD,,SWAP,CFD_OLD,Zoom Video Communications -CFD,564,ZM
4768C421,LU1598757687,BUY,25.5752,2021-09-22 10:35:58.000,2021-09-22 10:43:24.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,ArcelorMittal -CFD,787,E:MT
CAD1ACB1,LU1598757687,BUY,25.565,2021-09-22 10:34:16.000,2021-09-22 10:43:24.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,ArcelorMittal -CFD,787,E:MT
38573CAC,LU1598757687,BUY,25.6177,2021-09-22 10:30:40.000,2021-09-22 10:43:24.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,ArcelorMittal -CFD,787,E:MT
6F096538,LU1598757687,SELL,25.5627,2021-09-20 09:04:11.000,2021-09-20 09:39:37.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,ArcelorMittal -CFD,787,E:MT
