time,open,high,low,close,Volume,Volume MA
1439991000,2095.69,2096.17,2070.53,2079.61,3512920000,3628900000
1440077400,2076.61,2076.61,2035.73,2035.73,3922470000,3636383000
1440163800,2034.08,2034.08,1970.89,1970.89,5018240000,3693793000
1440423000,1965.15,1965.15,1867.01,1893.21,6612690000,3832590000
1440509400,1898.08,1948.04,1867.08,1867.61,5183560000,3885881000
1440595800,1872.75,1943.09,1872.75,1940.51,5338250000,3950848500
1440682200,1942.77,1989.6,1942.77,1987.66,5006390000,4022197500
1440768600,1986.06,1993.48,1975.19,1988.87,3949080000,4035584500
1441027800,1986.73,1986.73,1965.98,1972.18,3915100000,4057501000
1441114200,1970.09,1970.09,1903.07,1913.85,4371850000,4098758000
1441200600,1916.52,1948.91,1916.52,1948.86,3742620000,4087455000
1441287000,1950.79,1975.01,1944.72,1951.13,3520700000,4051161500
1441373400,1947.76,1947.76,1911.21,1921.22,3167090000,4029400000
1441719000,1927.3,1970.42,1927.3,1969.41,3548650000,4031109500
1441805400,1971.45,1988.63,1937.88,1942.04,3652120000,4028271500
1441891800,1941.59,1965.29,1937.19,1952.29,3626320000,3996131000
1441978200,1951.45,1961.05,1939.19,1961.05,3218590000,3995995500
1442237400,1963.06,1963.06,1948.27,1953.03,3000200000,4006226000
1442323800,1955.1,1983.19,1954.3,1978.09,3239860000,4024834500
1442410200,1978.02,1997.26,1977.93,1995.31,3630680000,4058869000
1442496600,1995.33,2020.86,1986.73,1990.2,4183790000,4092412500
1442583000,1989.66,1989.66,1953.45,1958.03,6021240000,4197351000
1442842200,1960.84,1979.64,1955.8,1966.97,3269350000,4109906500
1442928600,1961.39,1961.39,1929.22,1942.74,3808260000,3969685000
1443015000,1943.24,1949.52,1932.57,1938.76,3190530000,3870033500
1443101400,1934.81,1937.17,1908.92,1932.24,4091530000,3807697500
1443187800,1935.93,1952.89,1921.5,1931.34,3721870000,3743471500
1443447000,1929.18,1929.18,1879.21,1881.77,4326660000,3762350500
1443533400,1881.9,1899.48,1871.91,1884.09,4132390000,3773215000
1443619800,1887.14,1920.53,1887.14,1920.03,4525070000,3780876000
1443706200,1919.65,1927.21,1900.7,1923.82,3983600000,3792925000
1443792600,1921.77,1951.36,1893.7,1951.36,4378570000,3835818500
1444051800,1954.33,1989.17,1954.33,1987.05,4334490000,3894188500
1444138200,1986.63,1991.62,1971.99,1979.92,4202400000,3926876000
1444224600,1982.34,1999.31,1976.44,1995.83,4666470000,3977593500
1444311000,1994.01,2016.5,1987.53,2013.43,3939140000,3993234500
1444397400,2013.73,2020.13,2007.61,2014.89,3706900000,4017650000
1444656600,2015.65,2018.66,2010.55,2017.46,2893250000,4012302500
1444743000,2015,2022.34,2001.78,2003.69,3401920000,4020405500
1444829400,2003.66,2009.56,1990.73,1994.24,3644590000,4021101000
1444915800,1996.47,2024.15,1996.47,2023.86,3746290000,3999226000
1445002200,2024.37,2033.54,2020.46,2033.11,3595430000,3877935500
1445261400,2031.73,2034.45,2022.31,2033.66,3287320000,3878834000
1445347800,2033.13,2039.12,2026.61,2030.77,3331500000,3854996000
1445434200,2033.47,2037.97,2017.22,2018.94,3627790000,3876859000
1445520600,2021.88,2055.2,2021.88,2052.51,4430850000,3893825000
1445607000,2058.19,2079.74,2058.19,2075.15,4108460000,3913154500
1445866200,2075.08,2075.14,2066.53,2071.18,3385800000,3866111500
1445952600,2068.75,2070.37,2058.84,2065.89,4216880000,3870336000
1446039000,2066.48,2090.35,2063.11,2090.35,4698110000,3878988000
1446125400,2088.35,2092.52,2082.63,2089.41,4008940000,3880255000
1446211800,2090,2094.32,2079.34,2079.36,4256200000,3874136500
1446474600,2080.76,2106.2,2080.76,2104.05,3760020000,3845413000
1446561000,2102.63,2116.48,2097.51,2109.79,4272060000,3848896000
1446647400,2110.6,2114.59,2096.98,2102.31,4078870000,3819516000
1446733800,2101.68,2108.78,2090.41,2099.93,4051890000,3825153500
