TimeStamp,Mapping,RAW
,0 => E:BNP from 787,
,1 => E:BNP from EQUITY_L2_973,
2021-11-01T14:02:13.4384000Z,1,Q|367271||1635775333420147483||||||59.53|62|0||||140213420164626||
2021-11-01T14:02:13.4384000Z,1,Q|367272||1635775333420147483|||||||0|||||140213420198854||
2021-11-01T14:02:13.4384000Z,1,Q|367273||1635775333421700364||||||59.55|306|0||||140213421716347||
2021-11-01T14:02:13.4384000Z,1,Q|367274||1635775333430280735|59.5|180|0|||||||||140213430296689||
2021-11-01T14:02:13.4384000Z,0,T|30596||||||||0|||140213413822071|||||||||1|30200122||1|2||0|0|0|0|0|0|59.52|5|0010003862017|140213412111976|0|20|10|0|0|
2021-11-01T14:02:13.4384000Z,0,T|30597||||||||0|||140213413822071|||||||||1|30200122||1|2||0|0|0|0|0|0|59.52|98|0010003862273|140213412111976|0|20|10|0|0|
2021-11-01T14:02:13.4384000Z,0,T|30598||||||||0|||140213414253535|||||||||1|30200122||1|2||0|0|0|0|0|0|59.52|125|0010003862529|140213412111976|0|20|10|0|0|
2021-11-01T14:02:13.4384000Z,0,T|30599||||||||0|||140213416502797|||||||||1|30200122||1|2||0|0|0|0|0|0|59.52|125|0010003862785|140213415691050|0|20|10|0|0|
2021-11-01T14:02:13.4384000Z,0,T|30600||||||||0|||140213418975314|||||||||1|30200122||1|2||0|0|0|0|0|0|59.51|125|0010003863041|140213416525178|0|20|10|0|0|
2021-11-01T14:02:13.4784000Z,1,Q|367275||1635775333430280735||0||||||||||140213437483523||
2021-11-01T14:02:13.4784000Z,1,Q|367276||1635775333450725520||||||59.57|90|0||||140213450745280||
2021-11-01T14:02:13.4805000Z,1,Q|367277||1635775333457953430|59.48|101|0|||||||||140213457972067||
2021-11-01T14:02:13.4805000Z,1,Q|367278||1635775333457965977||||||59.55|101|0||||140213457987989||
2021-11-01T14:02:13.4805000Z,1,Q|367279||1635775333460224179|59.5|98|0|||||||||140213460242366||
2021-11-01T14:02:13.4805000Z,1,Q|367280||1635775333460234017|59.5|68|0|||||||||140213460251240||
2021-11-01T14:02:13.4805000Z,1,Q|367281||1635775333416663098||0||||||||||140213460326101||
2021-11-01T14:02:13.4805000Z,1,Q|367282||1635775333460299071|58.31|19|0|||||||||140213460326101||
